latitude,longitude,location_name,temperature,humidity,rainfall,wind_speed,is_peatland,fire_occurred
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),40.1,24,0.0,3.14,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),33.84,41,0.0,12.02,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),24.01,89,59.2,18.08,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.22,70,2.5,7.55,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),39.96,32,0.0,15.98,1,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),24.19,99,43.7,13.4,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),27.58,80,3.7,4.89,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),21.35,84,59.6,8.58,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),39.66,44,0.0,10.96,1,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),30.08,79,4.3,1.45,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),27.83,66,2.4,7.86,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),40.12,22,0.0,4.36,0,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),40.75,29,0.0,8.87,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),36.78,25,0.0,12.04,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),23.21,89,14.7,18.86,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.54,55,3.3,5.7,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),33.8,28,0.0,17.01,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),31.19,59,0.6,5.41,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),26.47,90,59.6,9.7,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),36.35,30,0.0,11.69,0,1
0.5071,101.4478,Gambut - Riau (Sumatera),29.66,80,0.9,8.57,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.56,68,4.0,8.67,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),25.97,94,40.8,17.57,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),37.89,31,0.0,7.89,0,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),33.55,33,0.0,7.66,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),37.93,21,0.0,13.01,0,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),28.59,74,3.9,9.1,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),20.93,96,15.8,19.75,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),37.76,43,0.0,4.42,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),40.79,40,0.0,15.09,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),25.45,99,21.0,19.89,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),33.78,25,0.0,16.84,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),23.93,92,42.9,10.11,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),39.21,38,0.0,11.66,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),34.65,41,0.0,3.38,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.57,57,4.4,2.46,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),40.36,29,0.0,11.87,0,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),27.98,62,0.2,3.0,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),26.18,82,18.8,8.04,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),40.64,25,0.0,16.48,0,1
0.5071,101.4478,Gambut - Riau (Sumatera),29.42,66,0.5,4.61,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),40.95,49,0.0,3.11,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),37.87,47,0.0,14.65,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),39.29,34,0.0,10.34,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),27.02,55,0.1,8.06,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.36,71,0.9,7.21,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.12,77,4.1,4.22,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.33,57,2.0,9.6,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.67,69,1.5,7.91,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),27.8,58,2.7,5.01,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),36.51,26,0.0,12.35,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),23.73,86,29.2,5.04,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),25.6,82,42.5,19.14,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.35,80,2.4,2.95,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),23.91,81,57.4,5.42,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),27.6,62,2.4,9.71,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),29.66,64,2.4,1.79,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),25.68,86,39.2,18.2,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),29.24,58,4.8,7.44,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),27.61,65,2.1,3.56,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.31,61,4.8,1.65,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.36,75,0.3,6.65,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),29.08,72,2.5,8.97,0,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),39.98,40,0.0,17.07,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),25.08,82,48.5,10.39,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.41,75,4.2,7.19,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.6,69,1.5,1.15,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),35.36,35,0.0,10.3,0,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),38.89,40,0.0,13.08,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.01,70,3.9,3.04,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.26,72,1.0,6.86,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),29.36,70,3.6,5.95,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),28.74,61,3.9,8.59,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),40.2,30,0.0,15.25,1,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),37.12,48,0.0,3.06,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),29.57,78,0.4,1.02,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),27.43,70,4.2,7.81,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),36.59,33,0.0,6.45,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),27.24,79,0.7,2.7,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),26.8,95,17.7,17.3,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),24.78,91,12.3,11.69,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),24.37,87,17.0,14.3,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),36.84,28,0.0,6.04,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.69,57,1.7,5.68,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),29.27,78,4.2,6.8,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),23.01,92,22.2,19.66,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),33.1,48,0.0,10.7,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),30.17,76,4.0,1.7,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.04,57,4.9,5.26,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),34.67,45,0.0,15.3,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),20.22,96,54.2,12.96,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),35.91,38,0.0,8.54,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),38.61,38,0.0,7.41,0,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.12,69,4.9,2.2,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),39.36,44,0.0,7.21,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.89,57,4.0,2.04,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),31.18,77,5.0,2.19,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),33.86,20,0.0,12.14,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),34.97,39,0.0,11.71,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),28.16,67,2.4,5.08,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),24.84,80,24.5,15.46,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),37.02,31,0.0,7.56,0,1
0.5071,101.4478,Gambut - Riau (Sumatera),37.51,37,0.0,14.73,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),29.65,58,4.9,6.69,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),22.71,98,10.8,10.95,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),35.26,47,0.0,14.21,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),27.73,79,3.6,5.67,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.87,63,1.9,2.58,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),34.8,34,0.0,16.29,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),24.57,95,39.6,7.41,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),27.12,69,1.9,8.0,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),33.16,50,0.0,3.73,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),35.0,35,0.0,14.56,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),20.64,81,38.2,6.21,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),38.52,20,0.0,3.93,0,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),26.07,84,36.2,6.86,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),40.71,37,0.0,7.22,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),31.79,65,4.3,4.96,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),24.34,94,57.2,13.29,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),20.97,92,26.1,17.43,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),22.51,81,21.6,6.77,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),31.17,60,0.9,4.28,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.94,78,3.7,1.3,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),28.98,58,2.4,4.28,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.94,58,2.1,5.87,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),33.85,47,0.0,14.6,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),28.94,75,3.6,3.59,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),28.32,65,2.6,8.5,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.09,79,4.8,4.21,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.71,80,3.1,6.23,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.1,78,4.9,3.4,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),31.75,78,4.3,6.16,0,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),30.93,76,2.6,4.56,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),26.16,97,13.1,6.88,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),33.06,31,0.0,17.9,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),28.76,63,1.8,6.47,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),28.18,58,1.6,8.78,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),35.71,28,0.0,7.62,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.28,67,0.4,3.87,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),29.12,58,1.7,2.48,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),38.98,29,0.0,10.14,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.6,67,1.2,2.87,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),34.55,45,0.0,15.55,1,1
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),24.52,98,16.2,10.38,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),37.99,34,0.0,12.64,1,1
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),27.42,69,0.2,7.48,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),25.1,81,36.8,9.96,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),35.26,43,0.0,14.35,0,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),27.92,59,2.1,9.76,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),28.14,56,0.3,1.13,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),33.31,20,0.0,4.58,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),28.1,75,2.0,4.81,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),34.68,37,0.0,5.99,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),25.73,89,30.6,11.29,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.7,59,1.9,2.45,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),29.72,55,0.6,1.82,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),29.51,60,2.5,3.61,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),33.87,32,0.0,7.77,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.84,55,2.0,1.24,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),22.83,86,19.3,10.83,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),34.59,47,0.0,8.31,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),30.42,67,0.4,2.38,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),29.69,72,2.5,7.55,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),28.78,69,3.0,2.56,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),31.59,59,2.9,7.41,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),36.81,38,0.0,3.99,1,1
0.5071,101.4478,Gambut - Riau (Sumatera),36.93,50,0.0,3.63,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),25.81,80,34.7,19.91,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),28.26,60,0.3,4.29,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),27.56,76,0.4,3.75,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),31.42,80,4.1,4.79,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),20.62,95,46.3,9.64,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),24.68,95,54.2,18.24,0,0
0.5071,101.4478,Gambut - Riau (Sumatera),28.1,70,4.6,1.17,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),21.97,89,37.6,11.34,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),40.98,48,0.0,6.75,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),36.68,38,0.0,8.85,0,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),27.2,65,2.7,4.69,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),37.89,32,0.0,13.06,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),29.44,73,0.1,9.23,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),37.17,38,0.0,4.41,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),31.78,61,1.6,6.58,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),28.78,66,0.1,8.33,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.25,59,3.8,1.11,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),22.43,96,44.0,13.1,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),31.57,58,2.6,5.29,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),29.08,64,0.8,3.3,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),38.92,34,0.0,11.79,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),33.72,50,0.0,16.39,1,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),22.45,91,20.8,12.48,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),27.18,64,3.6,4.38,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),34.24,26,0.0,11.97,0,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),25.01,86,46.6,8.54,1,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),35.2,46,0.0,8.57,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),34.5,47,0.0,14.24,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),34.05,25,0.0,15.67,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),30.07,58,0.0,6.05,1,0
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),30.26,71,2.4,9.34,1,0
-1.6101,103.6131,Hutan Lindung - Jambi (Sumatera),20.11,84,52.7,10.79,0,0
-0.4437,117.1566,Hutan Kutai - Kartanegara (Kalimantan),33.75,30,0.0,14.12,0,0
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),27.64,72,3.6,4.65,1,0
0.5071,101.4478,Gambut - Riau (Sumatera),36.25,22,0.0,15.8,1,1
-2.217,113.916,Gambut - Palangkaraya (Kalimantan),35.29,49,0.0,12.01,1,1
-3.397,104.831,Ogan Komering Ilir (Sumatera Selatan),38.42,40,0.0,15.96,1,1
